Category: All categories

Week,Turkey: (Germany)
2016-01-31,16
2016-02-07,16
2016-02-14,21
2016-02-21,17
2016-02-28,16
2016-03-06,18
2016-03-13,22
2016-03-20,21
2016-03-27,20
2016-04-03,16
2016-04-10,18
2016-04-17,16
2016-04-24,18
2016-05-01,20
2016-05-08,20
2016-05-15,21
2016-05-22,21
2016-05-29,22
2016-06-05,28
2016-06-12,46
2016-06-19,37
2016-06-26,31
2016-07-03,19
2016-07-10,100
2016-07-17,65
2016-07-24,28
2016-07-31,27
2016-08-07,25
2016-08-14,23
2016-08-21,26
2016-08-28,21
2016-09-04,21
2016-09-11,17
2016-09-18,16
2016-09-25,15
2016-10-02,20
2016-10-09,21
2016-10-16,16
2016-10-23,15
2016-10-30,18
2016-11-06,19
2016-11-13,15
2016-11-20,15
2016-11-27,15
2016-12-04,13
2016-12-11,16
2016-12-18,17
2016-12-25,14
2017-01-01,17
2017-01-08,14
2017-01-15,14
2017-01-22,13
2017-01-29,14
2017-02-05,13
2017-02-12,13
2017-02-19,13
2017-02-26,15
2017-03-05,20
2017-03-12,34
2017-03-19,21
2017-03-26,18
2017-04-02,15
2017-04-09,17
2017-04-16,50
2017-04-23,17
2017-04-30,17
2017-05-07,15
2017-05-14,16
2017-05-21,17
2017-05-28,16
2017-06-04,18
2017-06-11,21
2017-06-18,17
2017-06-25,17
2017-07-02,18
2017-07-09,19
2017-07-16,29
2017-07-23,21
2017-07-30,17
2017-08-06,17
2017-08-13,16
2017-08-20,18
2017-08-27,18
2017-09-03,19
2017-09-10,17
2017-09-17,14
2017-09-24,14
2017-10-01,16
2017-10-08,16
2017-10-15,13
2017-10-22,14
2017-10-29,13
2017-11-05,11
2017-11-12,11
2017-11-19,12
2017-11-26,11
2017-12-03,12
2017-12-10,11
2017-12-17,11
2017-12-24,13
2017-12-31,14
2018-01-07,15
2018-01-14,16
2018-01-21,20
2018-01-28,17
2018-02-04,16
2018-02-11,17
2018-02-18,17
2018-02-25,15
2018-03-04,16
2018-03-11,17
2018-03-18,17
2018-03-25,18
2018-04-01,16
2018-04-08,16
2018-04-15,15
2018-04-22,15
2018-04-29,16
2018-05-06,16
2018-05-13,18
2018-05-20,18
2018-05-27,18
2018-06-03,19
2018-06-10,19
2018-06-17,19
2018-06-24,33
2018-07-01,18
2018-07-08,19
2018-07-15,20
2018-07-22,20
2018-07-29,20
2018-08-05,22
2018-08-12,29
2018-08-19,21
2018-08-26,18
2018-09-02,20
2018-09-09,18
2018-09-16,19
2018-09-23,19
2018-09-30,17
2018-10-07,16
2018-10-14,17
2018-10-21,16
2018-10-28,15
2018-11-04,13
2018-11-11,13
2018-11-18,12
2018-11-25,12
2018-12-02,12
2018-12-09,13
2018-12-16,12
2018-12-23,14
2018-12-30,15
2019-01-06,15
2019-01-13,15
2019-01-20,14
2019-01-27,16
2019-02-03,15
2019-02-10,15
2019-02-17,15
2019-02-24,16
2019-03-03,16
2019-03-10,18
2019-03-17,19
2019-03-24,18
2019-03-31,23
2019-04-07,16
2019-04-14,15
2019-04-21,16
2019-04-28,16
2019-05-05,19
2019-05-12,17
2019-05-19,17
2019-05-26,18
2019-06-02,20
2019-06-09,24
2019-06-16,19
2019-06-23,22
2019-06-30,19
2019-07-07,19
2019-07-14,20
2019-07-21,20
2019-07-28,18
2019-08-04,19
2019-08-11,18
2019-08-18,19
2019-08-25,18
2019-09-01,19
2019-09-08,18
2019-09-15,16
2019-09-22,18
2019-09-29,17
2019-10-06,33
2019-10-13,37
2019-10-20,19
2019-10-27,16
2019-11-03,14
2019-11-10,16
2019-11-17,15
2019-11-24,12
2019-12-01,12
2019-12-08,12
2019-12-15,14
2019-12-22,16
2019-12-29,16
2020-01-05,16
2020-01-12,16
2020-01-19,19
2020-01-26,17
2020-02-02,16
2020-02-09,15
2020-02-16,15
2020-02-23,25
2020-03-01,27
2020-03-08,32
2020-03-15,18
2020-03-22,15
2020-03-29,16
2020-04-05,16
2020-04-12,16
2020-04-19,14
2020-04-26,14
2020-05-03,13
2020-05-10,14
2020-05-17,16
2020-05-24,16
2020-05-31,17
2020-06-07,21
2020-06-14,22
2020-06-21,18
2020-06-28,20
2020-07-05,19
2020-07-12,23
2020-07-19,22
2020-07-26,20
2020-08-02,22
2020-08-09,20
2020-08-16,20
2020-08-23,20
2020-08-30,21
2020-09-06,19
2020-09-13,17
2020-09-20,16
2020-09-27,17
2020-10-04,33
2020-10-11,18
2020-10-18,15
2020-10-25,20
2020-11-01,14
2020-11-08,15
2020-11-15,15
2020-11-22,14
2020-11-29,13
2020-12-06,13
2020-12-13,13
2020-12-20,15
2020-12-27,13
2021-01-03,12
2021-01-10,14
2021-01-17,13
2021-01-24,12
2021-01-31,13
