Week,satılık ev: (Turkey)
1/31/2016,26
2/7/2016,27
2/14/2016,30
2/21/2016,33
2/28/2016,29
3/6/2016,29
3/13/2016,29
3/20/2016,32
3/27/2016,28
4/3/2016,27
4/10/2016,28
4/17/2016,29
4/24/2016,28
5/1/2016,26
5/8/2016,29
5/15/2016,28
5/22/2016,29
5/29/2016,26
6/5/2016,26
6/12/2016,26
6/19/2016,24
6/26/2016,25
7/3/2016,34
7/10/2016,29
7/17/2016,23
7/24/2016,30
7/31/2016,33
8/7/2016,34
8/14/2016,34
8/21/2016,36
8/28/2016,31
9/4/2016,31
9/11/2016,32
9/18/2016,31
9/25/2016,32
10/2/2016,32
10/9/2016,34
10/16/2016,29
10/23/2016,29
10/30/2016,28
11/6/2016,30
11/13/2016,28
11/20/2016,29
11/27/2016,30
12/4/2016,27
12/11/2016,26
12/18/2016,25
12/25/2016,26
1/1/2017,25
1/8/2017,28
1/15/2017,30
1/22/2017,32
1/29/2017,39
2/5/2017,40
2/12/2017,37
2/19/2017,39
2/26/2017,35
3/5/2017,33
3/12/2017,33
3/19/2017,33
3/26/2017,31
4/2/2017,31
4/9/2017,32
4/16/2017,28
4/23/2017,29
4/30/2017,32
5/7/2017,31
5/14/2017,31
5/21/2017,29
5/28/2017,27
6/4/2017,30
6/11/2017,32
6/18/2017,27
6/25/2017,36
7/2/2017,38
7/9/2017,34
7/16/2017,36
7/23/2017,38
7/30/2017,38
8/6/2017,35
8/13/2017,33
8/20/2017,30
8/27/2017,29
9/3/2017,36
9/10/2017,35
9/17/2017,29
9/24/2017,30
10/1/2017,32
10/8/2017,31
10/15/2017,30
10/22/2017,29
10/29/2017,28
11/5/2017,30
11/12/2017,30
11/19/2017,28
11/26/2017,31
12/3/2017,27
12/10/2017,32
12/17/2017,28
12/24/2017,27
12/31/2017,29
1/7/2018,32
1/14/2018,28
1/21/2018,28
1/28/2018,30
2/4/2018,32
2/11/2018,31
2/18/2018,31
2/25/2018,31
3/4/2018,32
3/11/2018,29
3/18/2018,30
3/25/2018,32
4/1/2018,28
4/8/2018,28
4/15/2018,29
4/22/2018,27
4/29/2018,29
5/6/2018,31
5/13/2018,30
5/20/2018,29
5/27/2018,31
6/3/2018,26
6/10/2018,26
6/17/2018,31
6/24/2018,29
7/1/2018,32
7/8/2018,33
7/15/2018,34
7/22/2018,32
7/29/2018,31
8/5/2018,29
8/12/2018,32
8/19/2018,32
8/26/2018,37
9/2/2018,35
9/9/2018,33
9/16/2018,26
9/23/2018,30
9/30/2018,26
10/7/2018,26
10/14/2018,26
10/21/2018,24
10/28/2018,23
11/4/2018,22
11/11/2018,23
11/18/2018,23
11/25/2018,21
12/2/2018,23
12/9/2018,21
12/16/2018,24
12/23/2018,22
12/30/2018,24
1/6/2019,24
1/13/2019,24
1/20/2019,26
1/27/2019,26
2/3/2019,28
2/10/2019,27
2/17/2019,28
2/24/2019,28
3/3/2019,30
3/10/2019,29
3/17/2019,28
3/24/2019,28
3/31/2019,23
4/7/2019,25
4/14/2019,26
4/21/2019,23
4/28/2019,24
5/5/2019,21
5/12/2019,23
5/19/2019,22
5/26/2019,22
6/2/2019,35
6/9/2019,30
6/16/2019,29
6/23/2019,28
6/30/2019,31
7/7/2019,34
7/14/2019,29
7/21/2019,31
7/28/2019,36
8/4/2019,39
8/11/2019,44
8/18/2019,40
8/25/2019,37
9/1/2019,37
9/8/2019,35
9/15/2019,35
9/22/2019,35
9/29/2019,39
10/6/2019,34
10/13/2019,33
10/20/2019,34
10/27/2019,34
11/3/2019,33
11/10/2019,32
11/17/2019,32
11/24/2019,28
12/1/2019,32
12/8/2019,32
12/15/2019,34
12/22/2019,30
12/29/2019,33
1/5/2020,36
1/12/2020,34
1/19/2020,37
1/26/2020,37
2/2/2020,36
2/9/2020,37
2/16/2020,38
2/23/2020,34
3/1/2020,35
3/8/2020,33
3/15/2020,26
3/22/2020,27
3/29/2020,27
4/5/2020,30
4/12/2020,34
4/19/2020,39
4/26/2020,41
5/3/2020,41
5/10/2020,48
5/17/2020,49
5/24/2020,65
5/31/2020,100
6/7/2020,93
6/14/2020,87
6/21/2020,77
6/28/2020,71
7/5/2020,66
7/12/2020,66
7/19/2020,69
7/26/2020,56
8/2/2020,72
8/9/2020,65
8/16/2020,62
8/23/2020,58
8/30/2020,47
9/6/2020,47
9/13/2020,46
9/20/2020,44
9/27/2020,41
10/4/2020,43
10/11/2020,43
10/18/2020,45
10/25/2020,42
11/1/2020,42
11/8/2020,37
11/15/2020,39
11/22/2020,34
11/29/2020,35
12/6/2020,36
12/13/2020,34
12/20/2020,35
12/27/2020,41
1/3/2021,39
1/10/2021,38
1/17/2021,36
1/24/2021,43
1/31/2021,42
