Week,satılık konut: (Turkey)
1/31/2016,18
2/7/2016,13
2/14/2016,9
2/21/2016,14
2/28/2016,13
3/6/2016,11
3/13/2016,10
3/20/2016,11
3/27/2016,15
4/3/2016,13
4/10/2016,13
4/17/2016,13
4/24/2016,12
5/1/2016,14
5/8/2016,14
5/15/2016,11
5/22/2016,13
5/29/2016,13
6/5/2016,15
6/12/2016,11
6/19/2016,13
6/26/2016,11
7/3/2016,12
7/10/2016,13
7/17/2016,10
7/24/2016,19
7/31/2016,27
8/7/2016,28
8/14/2016,27
8/21/2016,13
8/28/2016,14
9/4/2016,11
9/11/2016,14
9/18/2016,14
9/25/2016,18
10/2/2016,10
10/9/2016,13
10/16/2016,13
10/23/2016,15
10/30/2016,14
11/6/2016,16
11/13/2016,20
11/20/2016,14
11/27/2016,12
12/4/2016,13
12/11/2016,16
12/18/2016,15
12/25/2016,7
1/1/2017,12
1/8/2017,9
1/15/2017,11
1/22/2017,19
1/29/2017,35
2/5/2017,28
2/12/2017,21
2/19/2017,16
2/26/2017,21
3/5/2017,14
3/12/2017,16
3/19/2017,15
3/26/2017,8
4/2/2017,14
4/9/2017,11
4/16/2017,7
4/23/2017,10
4/30/2017,11
5/7/2017,12
5/14/2017,13
5/21/2017,16
5/28/2017,11
6/4/2017,11
6/11/2017,11
6/18/2017,8
6/25/2017,10
7/2/2017,12
7/9/2017,13
7/16/2017,14
7/23/2017,13
7/30/2017,11
8/6/2017,14
8/13/2017,11
8/20/2017,13
8/27/2017,5
9/3/2017,12
9/10/2017,17
9/17/2017,11
9/24/2017,12
10/1/2017,14
10/8/2017,12
10/15/2017,10
10/22/2017,15
10/29/2017,15
11/5/2017,10
11/12/2017,15
11/19/2017,8
11/26/2017,10
12/3/2017,13
12/10/2017,14
12/17/2017,11
12/24/2017,9
12/31/2017,14
1/7/2018,8
1/14/2018,8
1/21/2018,12
1/28/2018,10
2/4/2018,11
2/11/2018,12
2/18/2018,10
2/25/2018,10
3/4/2018,12
3/11/2018,13
3/18/2018,11
3/25/2018,11
4/1/2018,6
4/8/2018,13
4/15/2018,14
4/22/2018,10
4/29/2018,10
5/6/2018,26
5/13/2018,22
5/20/2018,14
5/27/2018,13
6/3/2018,17
6/10/2018,6
6/17/2018,11
6/24/2018,11
7/1/2018,17
7/8/2018,9
7/15/2018,14
7/22/2018,11
7/29/2018,10
8/5/2018,14
8/12/2018,10
8/19/2018,15
8/26/2018,32
9/2/2018,20
9/9/2018,20
9/16/2018,12
9/23/2018,9
9/30/2018,11
10/7/2018,11
10/14/2018,7
10/21/2018,7
10/28/2018,10
11/4/2018,11
11/11/2018,10
11/18/2018,9
11/25/2018,12
12/2/2018,11
12/9/2018,19
12/16/2018,18
12/23/2018,10
12/30/2018,12
1/6/2019,9
1/13/2019,9
1/20/2019,8
1/27/2019,10
2/3/2019,15
2/10/2019,11
2/17/2019,16
2/24/2019,19
3/3/2019,21
3/10/2019,19
3/17/2019,17
3/24/2019,16
3/31/2019,8
4/7/2019,10
4/14/2019,10
4/21/2019,12
4/28/2019,9
5/5/2019,7
5/12/2019,11
5/19/2019,11
5/26/2019,8
6/2/2019,12
6/9/2019,9
6/16/2019,12
6/23/2019,9
6/30/2019,11
7/7/2019,11
7/14/2019,13
7/21/2019,13
7/28/2019,29
8/4/2019,28
8/11/2019,18
8/18/2019,20
8/25/2019,26
9/1/2019,14
9/8/2019,24
9/15/2019,18
9/22/2019,16
9/29/2019,20
10/6/2019,18
10/13/2019,17
10/20/2019,19
10/27/2019,15
11/3/2019,15
11/10/2019,21
11/17/2019,13
11/24/2019,16
12/1/2019,18
12/8/2019,17
12/15/2019,18
12/22/2019,14
12/29/2019,22
1/5/2020,16
1/12/2020,21
1/19/2020,15
1/26/2020,16
2/2/2020,14
2/9/2020,21
2/16/2020,21
2/23/2020,14
3/1/2020,24
3/8/2020,12
3/15/2020,15
3/22/2020,10
3/29/2020,7
4/5/2020,7
4/12/2020,10
4/19/2020,11
4/26/2020,13
5/3/2020,16
5/10/2020,18
5/17/2020,22
5/24/2020,19
5/31/2020,100
6/7/2020,78
6/14/2020,52
6/21/2020,41
6/28/2020,32
7/5/2020,30
7/12/2020,28
7/19/2020,29
7/26/2020,20
8/2/2020,29
8/9/2020,26
8/16/2020,22
8/23/2020,17
8/30/2020,20
9/6/2020,16
9/13/2020,19
9/20/2020,16
9/27/2020,16
10/4/2020,16
10/11/2020,16
10/18/2020,10
10/25/2020,16
11/1/2020,13
11/8/2020,10
11/15/2020,14
11/22/2020,11
11/29/2020,11
12/6/2020,13
12/13/2020,13
12/20/2020,6
12/27/2020,15
1/3/2021,11
1/10/2021,12
1/17/2021,8
1/24/2021,14
1/31/2021,12
